Measurement Time,Production (W),To Battery (W),To Grid (W),To Home (W),Consumption (W),From Battery (W),From Grid (W),From Solar (W),hour,day,month,weekday,day_night,tariff,role
2023-01-01 00:00:00,0.0,0.0,0.0,0.0,2108.3892,0.0,2108.3892,0.0,0,1,1,6,0,4.5,Consumer
2023-01-01 00:15:00,0.0,0.0,0.0,0.0,2888.8093,0.0,2888.8093,0.0,0,1,1,6,0,4.5,Consumer
2023-01-01 00:30:00,0.0,0.0,0.0,0.0,2760.1907,0.0,2760.1907,0.0,0,1,1,6,0,4.5,Consumer
2023-01-01 00:45:00,0.0,0.0,0.0,0.0,2816.545,0.0,2816.545,0.0,0,1,1,6,0,4.5,Consumer
2023-01-01 01:00:00,0.0,0.0,0.0,0.0,2932.58,0.0,2932.58,0.0,1,1,1,6,0,4.5,Consumer
2023-01-01 01:15:00,0.0,0.0,0.0,0.0,2001.784,0.0,2001.784,0.0,1,1,1,6,0,4.5,Consumer
2023-01-01 01:30:00,0.0,0.0,0.0,0.0,2061.7202,0.0,2061.7202,0.0,1,1,1,6,0,4.5,Consumer
2023-01-01 01:45:00,0.0,0.0,0.0,0.0,1955.4893,0.0,1955.4893,0.0,1,1,1,6,0,4.5,Consumer
2023-01-01 02:00:00,0.0,0.0,0.0,0.0,1689.3505,0.0,1689.3505,0.0,2,1,1,6,0,4.5,Consumer
2023-01-01 02:15:00,0.0,0.0,0.0,0.0,1563.6418,0.0,1563.6418,0.0,2,1,1,6,0,4.5,Consumer
2023-01-01 02:30:00,0.0,0.0,0.0,0.0,2096.3984,0.0,2096.3984,0.0,2,1,1,6,0,4.5,Consumer
2023-01-01 02:45:00,0.0,0.0,0.0,0.0,3015.301,0.0,3015.301,0.0,2,1,1,6,0,4.5,Consumer
2023-01-01 03:00:00,0.0,0.0,0.0,0.0,2603.2942,0.0,2603.2942,0.0,3,1,1,6,0,4.5,Consumer
2023-01-01 03:15:00,0.0,0.0,0.0,0.0,2842.524,0.0,2842.524,0.0,3,1,1,6,0,4.5,Consumer
2023-01-01 03:30:00,0.0,0.0,0.0,0.0,2805.0269,0.0,2805.0269,0.0,3,1,1,6,0,4.5,Consumer
2023-01-01 03:45:00,0.0,0.0,0.0,0.0,2364.7625,0.0,2364.7625,0.0,3,1,1,6,0,4.5,Consumer
2023-01-01 04:00:00,0.0,0.0,0.0,0.0,2256.712,0.0,2256.712,0.0,4,1,1,6,0,4.5,Consumer
2023-01-01 04:15:00,0.0,0.0,0.0,0.0,2289.8252,0.0,2289.8252,0.0,4,1,1,6,0,4.5,Consumer
2023-01-01 04:30:00,0.0,0.0,0.0,0.0,2481.3352,0.0,2481.3352,0.0,4,1,1,6,0,4.5,Consumer
2023-01-01 04:45:00,0.0,0.0,0.0,0.0,2159.881,0.0,2159.881,0.0,4,1,1,6,0,4.5,Consumer
2023-01-01 05:00:00,0.0,0.0,0.0,0.0,1786.8519,0.0,1786.8519,0.0,5,1,1,6,0,4.5,Consumer
2023-01-01 05:15:00,0.0,0.0,0.0,0.0,1861.676,0.0,1861.676,0.0,5,1,1,6,0,4.5,Consumer
2023-01-01 05:30:00,0.0,0.0,0.0,0.0,1623.0116,0.0,1623.0116,0.0,5,1,1,6,0,4.5,Consumer
2023-01-01 05:45:00,0.0,0.0,0.0,0.0,1717.9437,0.0,1717.9437,0.0,5,1,1,6,0,4.5,Consumer
2023-01-01 06:00:00,0.0,0.0,0.0,0.0,1897.2572,0.0,1897.2572,0.0,6,1,1,6,1,6.5,Consumer
2023-01-01 06:15:00,0.0,0.0,0.0,0.0,1903.5444,0.0,1903.5444,0.0,6,1,1,6,1,6.5,Consumer
2023-01-01 06:30:00,0.0,0.0,0.0,0.0,1746.4336,0.0,1746.4336,0.0,6,1,1,6,1,6.5,Consumer
2023-01-01 06:45:00,57.0,0.0,0.0,57.0,1693.0989,0.0,1636.0989,57.0,6,1,1,6,1,6.5,Prosumer
2023-01-01 07:00:00,236.33333,0.0,0.0,236.33333,1906.0493,0.0,1669.716,236.33333,7,1,1,6,1,6.5,Prosumer
2023-01-01 07:15:00,468.66666,0.0,0.0,468.66666,1881.2144,0.0,1412.5477,468.66666,7,1,1,6,1,6.5,Prosumer
2023-01-01 07:30:00,737.3333,0.0,0.0,737.3333,1715.5342,0.0,978.20087,737.3333,7,1,1,6,1,6.5,Prosumer
2023-01-01 07:45:00,942.6667,0.0,0.0,942.6667,2042.0012,0.0,1099.3345,942.6667,7,1,1,6,1,6.5,Prosumer
2023-01-01 08:00:00,1209.6666,0.0,0.0,1209.6666,2885.787,0.0,1676.1204,1209.6666,8,1,1,6,1,6.5,Prosumer
2023-01-01 08:15:00,1615.6666,0.0,0.0,1615.6666,4695.855,0.0,3080.1882,1615.6666,8,1,1,6,1,6.5,Prosumer
2023-01-01 08:30:00,1969.3334,0.0,0.0,1969.3334,5413.0605,0.0,3443.727,1969.3334,8,1,1,6,1,6.5,Prosumer
2023-01-01 08:45:00,2626.6667,0.0,0.0,2626.6667,5423.1304,0.0,2796.4636,2626.6667,8,1,1,6,1,6.5,Prosumer
2023-01-01 09:00:00,3426.0,0.0,1785.0972,1640.9028,1640.9028,0.0,0.0,1640.9028,9,1,1,6,1,6.5,Producer
